date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-11-16,12852261.2203,5090,0.0,161.87,27949200.0,1887.49999985,0.698799899998,
2017-11-17,18768115.9329,5059,0.0,138.75,24935100.0,1799.99999984,4.38828602,
2017-11-18,17648111.525,5993,0.0,153.07,24642900.0,1887.49999996,4.04755235,
2017-11-19,17580055.2668,4636,0.0,154.91,19503400.0,1699.99999996,0.930306299992,
2017-11-20,127876884.637,14294,0.0,135.2,93826900.0,1912.5,6.37463480003,
2017-11-21,246197713.661,25481,0.0,250.85,370782000.0,2137.49999996,11.06228395,
2017-11-22,181608640.722,11965,0.0,264.18,111451000.0,1812.5,8.03925190995,
2017-11-23,92479311.5736,10930,0.0,241.97,154038000.0,1924.99999991,7.84789094001,
2017-11-24,381428274.724,22061,0.0,295.75,537472000.0,1962.5,7.23566479999,
2017-11-25,381399562.437,13333,0.0,394.04,208662000.0,1800.0,3.79134717001,
2017-11-26,440297512.649,15488,5930460000.0,355.72,141228000.0,1837.49999999,3.49975986001,
2017-11-27,413057362.076,11717,6172140000.0,370.18,129160000.0,1899.99999994,2.89751696,
2017-11-28,183434497.771,9906,5992370000.0,359.36,101004000.0,1787.49999999,1.86211841,
2017-11-29,162558604.487,9679,5493510000.0,329.4,252313000.0,1987.49999997,2.03023923,
2017-11-30,94074259.5819,5924,4909140000.0,294.33,151331000.0,1899.99999999,1.35363791,
2017-12-01,115624049.213,5667,5076660000.0,304.34,134598000.0,1924.99999999,1.21715588,
2017-12-02,89979171.232,5800,5196890000.0,311.51,88196700.0,1799.99999999,1.10406844,
2017-12-03,82962747.3569,6328,4986080000.0,298.84,252844000.0,1937.49999999,1.38404888,
2017-12-04,99461008.8489,5483,5373320000.0,322.01,130453000.0,1824.99999998,1.12656662,
2017-12-05,111911815.482,5519,5498370000.0,329.47,113206000.0,1837.49999998,1.17269512,
2017-12-06,97049989.5556,6546,5101520000.0,305.66,156602000.0,1600.0,1.2888388,
2017-12-07,92647917.9633,5394,4657540000.0,279.03,137885000.0,1924.99999996,1.28959173,
2017-12-08,71007139.6576,5119,4235360000.0,253.71,178502000.0,1699.99999993,1.18202936,
2017-12-09,86420866.2165,4736,4354930000.0,260.84,105017000.0,1874.9999999,1.7118588,
2017-12-10,59628978.6591,4418,4090460000.0,244.97,140891000.0,1737.4999999,1.02467348,
2017-12-11,86350285.1963,5425,3829550000.0,229.33,265127000.0,1924.99999993,1.74647184,
